endTime,artistName,trackName,msPlayed,id,genre,language
2022-04-01 06:37,Lauv,I Like Me Better,38984,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-01 17:50,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-02 10:26,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-02 19:38,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-04 06:12,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-04 16:02,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-06 04:16,Lauv,I Like Me Better,6521,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-06 09:46,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-08 09:25,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-09 10:05,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-10 04:49,Lauv,Sad Forever,23520,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-16 12:34,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-04-28 13:10,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-05-08 13:06,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-05-13 18:30,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-05-18 15:14,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-05-20 16:55,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-05-25 17:18,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-05-27 12:12,Lauv,I Like Me Better,3390,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-06-04 06:46,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-01 18:04,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
